,Trust_Score,Kms_Driven,Year,RegState_Codes,Brand_Codes,Fuel_Codes,Trans_Codes,Model_Name,Price
1974,7.3,19855,2017,0,23,0,2,Duster,13.994779961674183
1975,7.0,21145,2017,0,8,0,2,Creta,14.084699175779255
1976,6.6,89566,2011,0,16,2,2,Wagon,12.203769996467498
1977,7.1,21142,2016,0,8,2,2,Creta,13.791902057511923
1978,6.7,21452,2010,0,8,2,2,i20,12.517186780315017
1979,6.7,21452,2015,0,16,0,2,S-Cross,13.525511135863999
1980,7.3,23654,2016,0,13,0,2,KUV100,13.192823704984052
1981,7.2,23652,2018,0,10,2,2,Compass,14.269577241031472
1982,7.2,32563,2018,0,26,0,2,Hexa,14.043858144765947
1983,7.4,21452,2013,0,20,0,2,Pajero,14.148751149870698
1984,6.7,22144,2016,0,13,0,2,TUV300,13.41720376785442
1985,6.4,39784,2016,0,16,2,2,Celerio,12.768418987820885
1986,7.1,36521,2017,0,13,0,2,Scorpio,13.657494416858425
1987,7.2,29878,2017,0,13,0,2,Scorpio,14.107484407551127
